Customer Lvl4,C03 - Sector,Cost_Actual_Amount,Heacount_Essbase,Revenue_Actual_Amount
Apple,Consumer and Industrials,525755992,207544,503286481
Verizon,Consumer and Industrials,497092881,157306,490101308
Humana,Financial Service + Healthcare,292097673,113739,286280992
High Tech Small Cust,Consumer and Industrials,116947321,101000,38709031
High Tech Small Cust,Financial Service + Healthcare,6572342,22,7352932
Sprint Nextel,Consumer and Industrials,190890814,86656,184356058
Sprint Nextel,Financial Service + Healthcare,7607886,1622,8005517
CTS Shared,ITS,-18924247,76886,45565
CVS Caremark,Consumer and Industrials,11282914,128,14863410
CVS Caremark,Financial Service + Healthcare,169601713,51540,159781353
Claro S-A,Consumer and Industrials,80533908,48257,81233641
Cox Communications,Consumer and Industrials,132007786,44639,131877363
General Motors,Consumer and Industrials,4573723,2230,3590050
General Motors,Financial Service + Healthcare,180042857,39233,141956372
Aetna,Financial Service + Healthcare,153400344,40477,148477979
Indiana Eligibility,Government,274046258,39489,294462585
Amazon.com,Consumer and Industrials,41320095,38354,30393286
Europe Clients Admin,Europe,6374604,36145,-126485
Consulting,Consumer and Industrials,531377413,35359,645684305
BlueCross BlueShield of FL Inc,Financial Service + Healthcare,59371086,34083,64826931
Conduent Finance,Conduent Corporate,-2246241,34047,-51589
UPS,Consumer and Industrials,60969211,32240,74084287
Insurance Small Cust,Financial Service + Healthcare,174424354,31914,170578262
Office of the CIO,Conduent Corporate,0,28,0
Office of the CIO,ITS,3830319,30113,205343
Xerox,Consumer and Industrials,52468164,22365,66956542
Xerox,Financial Service + Healthcare,14410279,6333,15979970
Cigna,Consumer and Industrials,28341291,2159,32942436
Cigna,Financial Service + Healthcare,81697101,26333,105143455
Royal Caribbean,Consumer and Industrials,65144094,26907,62969340
"Suntrust Banks, Inc",Consumer and Industrials,16775360,201,18413475
"Suntrust Banks, Inc",Financial Service + Healthcare,157312434,26431,248497849
Delta Air Lines,Consumer and Industrials,72865994,25678,81330292
Delta Air Lines,Financial Service + Healthcare,560752,335,696091
Conduent Human Resources,Conduent Corporate,-5581673,24670,-189
MetLife Inc,Financial Service + Healthcare,56630486,23594,72290734
Learning Services Admin,Consumer and Industrials,5516409,23162,-27773
Healthcare Comm 1 Small Cust,Financial Service + Healthcare,80908805,22235,100563904
Vodafone Group Plc,Europe,72566320,21270,68597422
Wageworks,Financial Service + Healthcare,39926137,21267,39388143
Pymnt Prod Deliver Small Cust,Government,1771085,20254,0
Shared Services,Consumer and Industrials,-3902719,13230,0
Shared Services,Europe,-26755,5324,0
Atos S. A.,Consumer and Industrials,34701422,3919,29535073
Atos S. A.,Financial Service + Healthcare,22094741,14443,19696400
Medi-Cal Business Partnership,Government,283588569,16412,325658822
Sedgewick,Financial Service + Healthcare,109834665,15433,119493682
Groupon,Consumer and Industrials,22274138,15306,23711503
Student Loan Services (SLS),Government,163121298,15129,137337231
United Health Group-Pacificare,Financial Service + Healthcare,26995632,13861,28814064
VodafoneZiggo,Europe,123023185,13853,119191504
Michelin,Consumer and Industrials,12125063,280,11955706
Michelin,Financial Service + Healthcare,32123980,12254,26165440
Anthem - Wellpoint,Financial Service + Healthcare,233950430,12529,248100203
Wal-Mart Stores Inc.,Consumer and Industrials,33517482,11027,37150316
Wal-Mart Stores Inc.,Financial Service + Healthcare,17243799,1466,22713329
Legal Services,Financial Service + Healthcare,-29657428,12392,2264006
The Crawford Group Inc.,Consumer and Industrials,31052317,12056,41339358
Highmark,Financial Service + Healthcare,33484298,11668,27705863
Healthcare + Insurance Admin,Financial Service + Healthcare,51156250,11027,70691
Koch Industries Inc.,Financial Service + Healthcare,35963935,10922,37183549
New York EZPass,Transportation,155551461,10368,180988658
General Electric,Consumer and Industrials,3744517,0,3444273
General Electric,Financial Service + Healthcare,44941510,10314,37397563
Medco Health Solutions Inc.,Financial Service + Healthcare,48291887,10284,52357171
United Tech,Consumer and Industrials,35134135,3515,37248724
United Tech,Financial Service + Healthcare,32885978,6720,28585618
New Jersey EB,Government,110233725,10016,140160993
Cardinal Health,Financial Service + Healthcare,20183427,9850,20742040
Interactions,Consumer and Industrials,7780182,9555,6979765
Google,Consumer and Industrials,51263048,9531,49582254
UnionBanCal Corp,Financial Service + Healthcare,22577309,9141,20116492
Wind Communications,Europe,10286448,9021,9895473
Windstream,Consumer and Industrials,25314686,8946,25180931
Florida Turnpike - CCSS,Transportation,51836198,8394,71627601
France - Fare CollectionFRFc13,Transportation,200280969,8350,192590029
Expedia,Consumer and Industrials,14398944,8204,13711062
Cover Virginia,Government,68853806,8089,67751395
Divested Discontinued Ops,Divested Discontinued Ops,135696867,7980,139815386
Conseco,Financial Service + Healthcare,12369672,7862,13113611
Consumer Finl Solutions (CFS),Financial Service + Healthcare,29676320,7626,75352882
New Jersey EZPass,Transportation,106213368,7569,126058227
Samsung Electronics,Consumer and Industrials,36475887,7473,37741363
Conduent Other,Conduent Corporate,5353898,7329,399397
Liberty Mutual,Financial Service + Healthcare,14103709,7290,15501892
Telefonica SA,Consumer and Industrials,5738230,7068,4867159
CareSource,Financial Service + Healthcare,23509348,6930,26703532
Arizona HIX,Government,38596539,6814,41936248
Entel,Consumer and Industrials,6625755,6704,4641254
HCSC,Financial Service + Healthcare,60909321,6648,69162498
The Travelers Companies Inc.,Financial Service + Healthcare,19125643,6528,20690030
AT+T Inc.,Consumer and Industrials,17791057,6431,10229313
Hartford Financial Services,Financial Service + Healthcare,14918069,6427,19144536
ASUS (ES),Consumer and Industrials,8546472,5960,10545042
Tolling Region 1 Admin,Transportation,475312,5922,-1265289
Kentucky HBE,Government,36591315,5901,42498871
The Bank of New York Mellon,Consumer and Industrials,4262820,678,6251835
The Bank of New York Mellon,Financial Service + Healthcare,40066755,5164,39207944
"HELP, Inc.",Transportation,114073826,5793,149787888
Telecom,Consumer and Industrials,10011364,5738,9310935
Peugeot,Europe,35432062,5284,28210263
Peugeot,Financial Service + Healthcare,1194143,420,1351451
MIDs,Financial Service + Healthcare,66030753,5540,130347583
KPN,Europe,59493923,5496,56827201
ETC - Bay Area Toll Auth,Transportation,60149749,5391,55216495
PriceWaterhouse Coopers,Consumer and Industrials,43451351,5264,53455440
Liberty Global,Europe,25307945,5206,26576627
M7,Europe,14307452,5184,14680982
Multichannel Comm Srvcs Admin,Financial Service + Healthcare,9874564,5152,8656240
Dept of Labor - Workers Comp,Government,58610824,5115,72634612
Sunrise,Europe,16392327,5090,16175743
Bank of America,Financial Service + Healthcare,22976076,5057,27560179
FAP Administration,Financial Service + Healthcare,-6147235,5013,-21214
TBO Canada,Consumer and Industrials,56779289,4984,55490353
NY SID,Government,21974548,4836,27432961
GRM - Government Services,Government,21534486,4724,17921069
Firmenich,Consumer and Industrials,2609561,364,1649993
Firmenich,Financial Service + Healthcare,20674953,4294,16531822
AstraZeneca,Europe,45698658,4569,48465950
Real Estate (3),Conduent Corporate,8670164,4529,151253
COD (Ed Svces),Consumer and Industrials,19003671,4507,18244640
Alaska MMIS,Government,93261147,4504,62657901
"Ryder Systems, Inc",Consumer and Industrials,5662587,4487,6788537
Acurian,Financial Service + Healthcare,8021364,4312,6311415
Guardian Life Insurance,Financial Service + Healthcare,6409598,4303,4881883
New York Child Support,Government,41332937,4287,44802233
Independence Blue Cross,Financial Service + Healthcare,17342307,4164,14600208
Sky,Europe,12014064,4114,10981083
Connecticut Contract Husky,Government,36311566,4018,29616175
US Cellular,Consumer and Industrials,9383131,4000,9102209
Photo Small Cust,Transportation,15961649,3888,20858523
Gold Coast Health,Financial Service + Healthcare,29450189,3812,46728483
Conduent Legal,Conduent Corporate,-210667,3740,-17
FAP Customers,Financial Service + Healthcare,2348501,3712,5723889
New Mexico MMIS,Government,53942145,3592,69246319
Woodforest (ES),Financial Service + Healthcare,5348755,3565,6712798
Medrisk,Financial Service + Healthcare,2657839,3561,3044072
Harte Hanks,Consumer and Industrials,6799219,3513,6605258
Texas DOT,Transportation,88703338,3477,99921490
Broadspire,Financial Service + Healthcare,4508289,3456,5771184
Patient Access Solutions,Financial Service + Healthcare,198768,3414,3091790
Harris Bank,Consumer and Industrials,2924694,57,3158884
Harris Bank,Financial Service + Healthcare,16501548,3216,20999862
Mississippi MMIS,Government,74957472,3258,110807037
Student Financial Aid (SFA),Consumer and Industrials,11233626,3244,12882177
HTIR Clients 2 Small Cust,Consumer and Industrials,-1700788,3213,-865991
"CareFirst, Inc.",Financial Service + Healthcare,15218646,3130,18404278
Peru - Fare Collection,Transportation,19988807,3116,30146542
TDS,Consumer and Industrials,4353452,3100,5840952
Westrock,Financial Service + Healthcare,11073723,3026,10965440
Virginia MMIS,Government,41276400,2974,67093906
USA Fare Collection,Transportation,68027902,2925,30090416
Universal SmartComp,Financial Service + Healthcare,3320992,2920,4761310
California Lifeline,Government,32134478,2867,36241526
Boeing,Consumer and Industrials,92001360,2853,97092568
Agos Ducato,Europe,4647475,2823,5163458
Fin Serv + Healthcare Admin,Financial Service + Healthcare,22617483,2747,297000
BBVA,Financial Service + Healthcare,3947141,2741,3488792
American Express,Financial Service + Healthcare,5672822,2661,6970430
Banking Small Cust,Consumer and Industrials,5711864,54,6147686
